Mail,STAC,Package,Date
boden@bafu.admin.ch,ja,1,2025-02-10
hydrologie@bafu.admin.ch,nein,2,2025-02-10
wald@bafu.admin.ch,nein,7,2025-02-10
aoel@bafu.admin.ch,nein,1,2025-02-11
bnl@bafu.admin.ch,ja,2,2025-02-11
bnl@bafu.admin.ch,nein,101,2025-02-11
boden@bafu.admin.ch,ja,21,2025-02-11
boden@bafu.admin.ch,nein,24,2025-02-11
gefahrenpraevention@bafu.admin.ch,ja,3,2025-02-11
gefahrenpraevention@bafu.admin.ch,nein,7,2025-02-11
hydrogeologie@bafu.admin.ch,ja,1,2025-02-11
hydrogeologie@bafu.admin.ch,nein,8,2025-02-11
hydrologie@bafu.admin.ch,nein,30,2025-02-11
info@bafu.admin.ch,nein,3,2025-02-11
info@infoflora.ch,nein,1,2025-02-11
kevin.bouchir@pronatura.ch,nein,1,2025-02-11
luftreinhaltung@bafu.admin.ch,ja,6,2025-02-11
luftreinhaltung@bafu.admin.ch,nein,2,2025-02-11
noise@bafu.admin.ch,nein,4,2025-02-11
sedweb@sed.ethz.ch,nein,2,2025-02-11
wald@bafu.admin.ch,nein,42,2025-02-11
wasser@bafu.admin.ch,nein,26,2025-02-11
wslinfo@wsl.ch,nein,1,2025-02-11
aoel@bafu.admin.ch,nein,1,2025-02-12
bnl@bafu.admin.ch,ja,21,2025-02-12
bnl@bafu.admin.ch,nein,82,2025-02-12
boden@bafu.admin.ch,ja,21,2025-02-12
boden@bafu.admin.ch,nein,24,2025-02-12
gefahrenpraevention@bafu.admin.ch,ja,3,2025-02-12
gefahrenpraevention@bafu.admin.ch,nein,7,2025-02-12
hydrogeologie@bafu.admin.ch,ja,1,2025-02-12
hydrogeologie@bafu.admin.ch,nein,8,2025-02-12
hydrologie@bafu.admin.ch,ja,8,2025-02-12
hydrologie@bafu.admin.ch,nein,22,2025-02-12
info@bafu.admin.ch,ja,2,2025-02-12
info@bafu.admin.ch,nein,1,2025-02-12
info@infoflora.ch,nein,1,2025-02-12
kevin.bouchir@pronatura.ch,ja,1,2025-02-12
luftreinhaltung@bafu.admin.ch,ja,6,2025-02-12
luftreinhaltung@bafu.admin.ch,nein,2,2025-02-12
noise@bafu.admin.ch,nein,4,2025-02-12
sedweb@sed.ethz.ch,nein,2,2025-02-12
wald@bafu.admin.ch,ja,29,2025-02-12
wald@bafu.admin.ch,nein,13,2025-02-12
wasser@bafu.admin.ch,ja,5,2025-02-12
wasser@bafu.admin.ch,nein,21,2025-02-12
wslinfo@wsl.ch,nein,1,2025-02-12
